%CPU %MEM     PID TT       STIME     TIME CMD
12.7  0.0 1042569 pts/0    09:13 00:00:01 /bin/ksh tmon manu tes
 2.0  0.0 1043997 pts/0    09:13 00:00:00 sh /u1/etc/tmon/script/chk_cpu
 0.0  0.0     673 ?        Dec15 00:00:00 [xfsalloc]
 0.0  0.0     674 ?        Dec15 00:00:00 [xfs_mru_cache]
 0.0  0.0     675 ?        Dec15 00:00:00 [xfs-buf/sda5]
 0.0  0.0     676 ?        Dec15 00:00:00 [xfs-conv/sda5]
 0.0  0.0     677 ?        Dec15 00:00:00 [xfs-cil/sda5]
 0.0  0.0     678 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0     679 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0     680 ?        Dec15 00:00:00 [xfs-log/sda5]
 0.0  0.3     785 ?        Dec15 00:00:39 /usr/lib/systemd/systemd-journald
 0.0  0.0     826 ?        Dec15 00:00:00 [rpciod]
 0.0  0.0     827 ?        Dec15 00:00:00 [kworker/u37:0]
 0.0  0.0     828 ?        Dec15 00:00:00 [kworker/u38:0]
 0.0  0.0     829 ?        Dec15 00:00:00 [kworker/u39:0]
 0.0  0.0     830 ?        Dec15 00:00:00 [kworker/u40:0-xprtiod]
 0.0  0.0     831 ?        Dec15 00:00:00 [kworker/u41:0]
 0.0  0.0     832 ?        Dec15 00:00:00 [xprtiod]
 0.0  0.0     845 ?        Dec15 00:00:01 /usr/lib/systemd/systemd-udevd
 0.0  0.0     930 ?        Dec15 00:00:00 [dm_bufio_cache]
 0.0  0.0     941 ?        Dec15 00:00:00 [kdmflush]
 0.0  0.0     942 ?        Dec15 00:00:00 [kdmflush]
 0.0  0.0     977 ?        Dec15 00:00:00 [xfs-buf/sda1]
 0.0  0.0     978 ?        Dec15 00:00:00 [xfs-conv/sda1]
 0.0  0.0     979 ?        Dec15 00:00:00 [xfs-cil/sda1]
 0.0  0.0     980 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0     981 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0     984 ?        Dec15 00:00:00 [xfs-buf/sda8]
 0.0  0.0     985 ?        Dec15 00:00:00 [xfs-buf/sda3]
 0.0  0.0     986 ?        Dec15 00:00:00 [xfs-conv/sda8]
 0.0  0.0     987 ?        Dec15 00:00:00 [xfs-conv/sda3]
 0.0  0.0     988 ?        Dec15 00:00:00 [xfs-cil/sda8]
 0.0  0.0     989 ?        Dec15 00:00:00 [xfs-cil/sda3]
 0.0  0.0     990 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0     991 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0     992 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0     993 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0     995 ?        Dec15 00:00:00 [xfs-buf/sda9]
 0.0  0.0     996 ?        Dec15 00:00:00 [xfs-conv/sda9]
 0.0  0.0     997 ?        Dec15 00:00:00 [xfs-cil/sda9]
 0.0  0.0     998 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0     999 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0    1000 ?        Dec15 00:00:00 [xfs-buf/sda2]
 0.0  0.0    1001 ?        Dec15 00:00:00 [xfs-conv/sda2]
 0.0  0.0    1002 ?        Dec15 00:00:00 [xfs-cil/sda2]
 0.0  0.0    1003 ?        Dec15 00:00:00 [xfs-buf/sda6]
 0.0  0.0    1004 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0    1005 ?        Dec15 00:00:00 [xfs-conv/sda6]
 0.0  0.0    1006 ?        Dec15 00:00:00 [xfs-cil/sda6]
 0.0  0.0    1007 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0    1008 ?        Dec15 00:00:00 [xfs-reclaim/sda]
 0.0  0.0    1009 ?        Dec15 00:00:00 [xfs-eofblocks/s]
 0.0  0.0    1010 ?        Dec15 00:00:00 [xfs-log/sda1]
 0.0  0.0    1011 ?        Dec15 00:00:00 [xfs-log/sda9]
 0.0  0.0    1012 ?        Dec15 00:00:00 [xfs-log/sda3]
 0.0  0.0    1013 ?        Dec15 00:00:00 [xfs-log/sda6]
 0.0  0.0    1014 ?        Dec15 00:00:00 [xfs-log/sda8]
 0.0  0.0    1015 ?        Dec15 00:00:00 [xfsaild/sda9]
 0.0  0.0    1018 ?        Dec15 00:00:00 [xfsaild/sda1]
 0.0  0.0    1019 ?        Dec15 00:00:00 [xfsaild/sda8]
 0.0  0.0    1020 ?        Dec15 00:00:00 [xfs-log/sda2]
 0.0  0.0    1027 ?        Dec15 00:00:00 [kdmflush]
 0.0  0.0    1030 ?        Dec15 00:00:00 [kcopyd]
 0.0  0.0    1031 ?        Dec15 00:00:00 [dm-thin]
 0.0  0.0    1033 ?        Dec15 00:00:00 [kdmflush]
 0.0  0.1    1037 ?        Dec15 00:00:05 /usr/sbin/dmeventd -f
 0.0  0.0    1045 ?        Dec15 00:00:00 [kdmflush]
 0.0  0.0    1056 ?        Dec15 00:00:00 [xfs-buf/dm-4]
 0.0  0.0    1057 ?        Dec15 00:00:00 [xfs-conv/dm-4]
 0.0  0.0    1058 ?        Dec15 00:00:00 [xfs-cil/dm-4]
 0.0  0.0    1059 ?        Dec15 00:00:00 [xfs-reclaim/dm-]
